Membership No  Date Joined  Active  
    39311      2015-2-7     no    
    38374      2016-1-1     no    
    14249      2020-11-2    no    
    52472      2017-9-3     no    
    61140      2018-12-20   no    
    29094      2015-7-2     no    
    10188      2020-5-12    no    
    53231      2016-10-15   no    
    52814      2017-4-12    no    
    53118      2018-2-12    no    
    75855      2017-12-19   no    
    20729      2015-10-21   no    
    79183      2019-7-14    no    
    81607      2018-1-15    no    
